?X -> GRSZBRUAWW, ?Y -> 5
?X -> WPKBNIMGYS, ?Y -> 2196
?X -> VOXZSBXIMZ, ?Y -> 2269
?X -> ZGEHFCUPMN, ?Y -> 2161
?X -> OZUYXYGOVR, ?Y -> 2084
?X -> OMICIZWTYI, ?Y -> 2090
?X -> LRUDQDDYBW, ?Y -> 2089
?X -> ZVLTKKEWJG, ?Y -> 2018
?X -> RTKYPTYQZA, ?Y -> 2371
?X -> WNESMEJGYL, ?Y -> 2070
?X -> PTLFVTRCXE, ?Y -> 2222
?X -> GRIHFJNMBZ, ?Y -> 2139
?X -> NGCLUOSYDS, ?Y -> 2365
?X -> FYUINOFWED, ?Y -> 2263
?X -> YOUYYKNTUV, ?Y -> 2036
?X -> JKNLUXHDCR, ?Y -> 2456
?X -> CHNAFXZBCZ, ?Y -> 2319
?X -> HMLGPMBDWJ, ?Y -> 2331
?X -> GKOOHTYROR, ?Y -> 2302
?X -> IWGFQPLYOH, ?Y -> 2177
?X -> TBFRPHBZQK, ?Y -> 2468
?X -> LLLYZYYYJG, ?Y -> 2259
?X -> QAGJSOMFPP, ?Y -> 2270
?X -> ZEOIKMEOWZ, ?Y -> 2178
?X -> DOGDUGLKZS, ?Y -> 2210
?X -> WPUHWNNXUO, ?Y -> 2124
?X -> HBWDQCGGSN, ?Y -> 2358
?X -> AJPDKNJCMK, ?Y -> 2370
?X -> PZUOCYMURW, ?Y -> 2050
?X -> RNNCTZIBEN, ?Y -> 2141
?X -> NNPLULYZLQ, ?Y -> 2022
?X -> BBZIKBBDQT, ?Y -> 2049
?X -> LZHYZICAIF, ?Y -> 2069
?X -> ZPOQQOEIXS, ?Y -> 2329
?X -> NFLKIWVDNX, ?Y -> 2398
?X -> UPJTAHJRFZ, ?Y -> 2035
?X -> NVRPPRNAIY, ?Y -> 2429
?X -> VTGKGZLMXN, ?Y -> 2427
?X -> OXVHDAHHCA, ?Y -> 2197
?X -> SSZAJVEFPZ, ?Y -> 2253
?X -> YLHJATPDDE, ?Y -> 2168
?X -> KJENQEAHTX, ?Y -> 2147
?X -> PHZLGFMUFD, ?Y -> 2127
?X -> FWWGNJIRCI, ?Y -> 2435
?X -> ASZHWSUQCA, ?Y -> 2117
?X -> GEEMGYFRXN, ?Y -> 2272
?X -> PITAVDHVTO, ?Y -> 2071
?X -> YXAKQJACDK, ?Y -> 2098
?X -> TCDHPJEUOE, ?Y -> 2082
?X -> XTPCKZLEIM, ?Y -> 2199
?X -> NWBDIKVMNV, ?Y -> 2311
?X -> VKEDOGPMHD, ?Y -> 2478
?X -> ZBZSYAIUDV, ?Y -> 2290
?X -> VNAQGICBIK, ?Y -> 2379
?X -> QSLACYSXCK, ?Y -> 2296
?X -> CYCNCQKIFY, ?Y -> 2155
?X -> RKHKCPAAZJ, ?Y -> 2166
?X -> QCDLXZQCVC, ?Y -> 2449
?X -> CDCIRGMWEF, ?Y -> 2388
?X -> MKYOPOQIQO, ?Y -> 2104
?X -> ZWQYYWLZRP, ?Y -> 2303
?X -> WOFCYZRSOJ, ?Y -> 2450
?X -> XPKQDDRDOR, ?Y -> 2203
?X -> QYOGUYMERP, ?Y -> 2225
?X -> CPPGXIBPLX, ?Y -> 2231
?X -> XTLLEBLSDW, ?Y -> 2148
?X -> RMGKXVGINV, ?Y -> 2026
?X -> IJXSKMMKLN, ?Y -> 2482
?X -> IGKOEBBHTH, ?Y -> 2145
?X -> BTGWNIZDIN, ?Y -> 2192
?X -> KVKQOXKDHG, ?Y -> 2356
?X -> FBLHWKEFFJ, ?Y -> 2363
?X -> AADOOYNSOL, ?Y -> 2485
?X -> TTOOPRNSIN, ?Y -> 2243
?X -> DQVXTWRXBK, ?Y -> 2484
?X -> ETBXSKUILD, ?Y -> 2314
?X -> EIIKUCQLYK, ?Y -> 2207
?X -> DVLPCJXUDW, ?Y -> 2249
?X -> KGHPVPFPVE, ?Y -> 2491
?X -> XHNCXLTRUU, ?Y -> 2182
?X -> XMKJLSGMOF, ?Y -> 2180
?X -> EPVVXWBUYV, ?Y -> 2053
?X -> VQJAHSVESI, ?Y -> 2040
?X -> GLUGXKOKVZ, ?Y -> 2458
?X -> MNPLJNBUIG, ?Y -> 2274
?X -> VKJUSJWBNR, ?Y -> 2046
?X -> KEIJSXZIAR, ?Y -> 2369
?X -> YOHUPHVLZV, ?Y -> 2403
?X -> WUXCKOZZWH, ?Y -> 2230
?X -> TLVWBHICOB, ?Y -> 2327
?X -> XXLCOSTLUO, ?Y -> 2333
?X -> MLGLBDZWGB, ?Y -> 2387
?X -> CEVJOVLZHZ, ?Y -> 2406
?X -> STJZVPSFRD, ?Y -> 2012
?X -> FDQAMGPDND, ?Y -> 2405
?X -> JPFGFSRITJ, ?Y -> 2366
?X -> FYZVXGAACJ, ?Y -> 2162
?X -> BJMEYHCWUO, ?Y -> 2077
?X -> ZHNZBVRHGN, ?Y -> 2268
?X -> ZENCXZWRUS, ?Y -> 2360
?X -> RAMIBRURZU, ?Y -> 2459
?X -> WSXWAUNCHI, ?Y -> 2453
?X -> TGXWNPHVOW, ?Y -> 2003
?X -> NKKKLNUTCN, ?Y -> 2467
?X -> ONATFYQZUY, ?Y -> 2246
?X -> PUEAIICLWH, ?Y -> 2306
?X -> EKPNYMCFPC, ?Y -> 2462
?X -> DWTNASFOJM, ?Y -> 2475
?X -> HJPQITPJQO, ?Y -> 2420
?X -> WACJQPPFOK, ?Y -> 2220
?X -> EIQXFVLFLB, ?Y -> 2083
?X -> MDVJXCOZGZ, ?Y -> 2409
?X -> GHOXRQXHLP, ?Y -> 2495
?X -> UIMNNTMSQP, ?Y -> 2499
?X -> IWENUJFPBO, ?Y -> 2248
?X -> KRMAHFNOOX, ?Y -> 2428
?X -> JUOTLWXXSF, ?Y -> 2461
?X -> VOJLKHWPNH, ?Y -> 2160
?X -> MBYHKKTOCK, ?Y -> 2426
?X -> VOZUBIRHRV, ?Y -> 2169
?X -> RBBQHVOYZE, ?Y -> 2093
?X -> ECLORXCCBI, ?Y -> 2341
?X -> PNKYUNMFEY, ?Y -> 2368
?X -> JFJCQRSLGO, ?Y -> 2271
?X -> UJQPLXYYLZ, ?Y -> 2076
?X -> OOKDQTPCDX, ?Y -> 2045
?X -> OBITFXTWLG, ?Y -> 2322
?X -> KGYJZFJJIC, ?Y -> 2424
?X -> BVSZYREFKY, ?Y -> 2320
?X -> LOMVDKXFHM, ?Y -> 2109
?X -> BEKMJFSOAD, ?Y -> 2279
?X -> TPUVNKQFQL, ?Y -> 2211
?X -> YEGWEOZTTO, ?Y -> 2384
?X -> JRNXIPVDEZ, ?Y -> 2310
?X -> WIPDDWAOOC, ?Y -> 2205
?X -> WMYBTURXPM, ?Y -> 2100
?X -> RXXOWOARDA, ?Y -> 2062
?X -> WRFPHAQJUF, ?Y -> 2034
?X -> WLAANWNPSG, ?Y -> 2445
?X -> NNSCOIWKJT, ?Y -> 2125
?X -> HFOOYCWEFG, ?Y -> 2105
?X -> PHYBSFKHMB, ?Y -> 2142
?X -> WNERUHEZME, ?Y -> 2080
?X -> PPZUVXYGST, ?Y -> 2081
?X -> ATIDUHTAAQ, ?Y -> 2393
?X -> LFTQKOTKHM, ?Y -> 2344
?X -> QZKRCSSWKM, ?Y -> 2335
?X -> WTPFLTZZJE, ?Y -> 2206
?X -> TYSXOEVEPG, ?Y -> 2402
?X -> ZJFAEJZRSG, ?Y -> 2038
?X -> RNDSGTSPPI, ?Y -> 2301
?X -> QTAFRGKYEP, ?Y -> 2494
?X -> PIJSIWDWZB, ?Y -> 2195
?X -> VNECFJUJHQ, ?Y -> 2355
?X -> BDZTUEUVSK, ?Y -> 2091
?X -> SDBIQTPXHO, ?Y -> 2094
?X -> TYRWQBUUGD, ?Y -> 2028
?X -> XRWMJDYVCH, ?Y -> 2176
?X -> USQAHFBKFD, ?Y -> 2111
?X -> UWSEZTNTHV, ?Y -> 2367
?X -> KYMPDSXDFH, ?Y -> 2120
?X -> CBBYSJIRQV, ?Y -> 2114
?X -> NNNIGXIUNS, ?Y -> 2190
?X -> PXNVOQPYOT, ?Y -> 2444
?X -> VCSXMXMCRY, ?Y -> 2118
?X -> IIQGOEQUFX, ?Y -> 2280
?X -> PZNIJFOLSQ, ?Y -> 2106
?X -> FSSVRUMQOR, ?Y -> 2332
?X -> CITWWDKIFS, ?Y -> 2133
?X -> JBSRSPDBRY, ?Y -> 2048
?X -> RGDJQBICDM, ?Y -> 2443
?X -> JPWNMOYOUY, ?Y -> 2004
?X -> SYOSRPVOGR, ?Y -> 2208
?X -> ZVRAQSRUNN, ?Y -> 2390
?X -> XQDDGKNGBO, ?Y -> 2287
?X -> UJZZUNAJEV, ?Y -> 2103
?X -> PIVYDMVFVH, ?Y -> 2352
?X -> UTOWXZHEVK, ?Y -> 2015
?X -> ZKEVGZSSUC, ?Y -> 2123
?X -> RNZWXJYNWM, ?Y -> 2200
?X -> HVVFPJFGJC, ?Y -> 2465
?X -> SXDHHFSUBN, ?Y -> 2385
?X -> WNDKOEZCQD, ?Y -> 2446
?X -> YWDCJEIJNV, ?Y -> 2442
?X -> JLEQJLHIKJ, ?Y -> 2351
?X -> XIFLNYNDQZ, ?Y -> 2146
?X -> HOLYBBHAIR, ?Y -> 2372
?X -> NNZYYGAVJC, ?Y -> 2156
?X -> YAOIXLWRHG, ?Y -> 2140
?X -> CMLBSTTJQS, ?Y -> 2391
?X -> VYNIHEEWQA, ?Y -> 2347
?X -> DSMEOLNFXA, ?Y -> 2476
?X -> NKJEIKQZSU, ?Y -> 2354
?X -> MGTUZYQVKU, ?Y -> 2389
?X -> TECABRDXFK, ?Y -> 2342
?X -> AJZGKWNPVB, ?Y -> 2308
?X -> LWLXTGIPFD, ?Y -> 2255
?X -> UXKSZZALEH, ?Y -> 2315
?X -> SKSMXKHVDM, ?Y -> 2234
?X -> TRIDUWWLRZ, ?Y -> 2171
?X -> GDIRULSYMD, ?Y -> 2323
?X -> GXRZNYWCCT, ?Y -> 2201
?X -> YCLTGEGEYA, ?Y -> 2152
?X -> RRBEBZKHEU, ?Y -> 2245
?X -> PWGFMKTDQE, ?Y -> 2113
?X -> ZRDTKVGHWT, ?Y -> 2135
?X -> YZAJBMUXRW, ?Y -> 2151
?X -> ZXJDMAWQEM, ?Y -> 2278
?X -> SJUPDHEGJD, ?Y -> 2002
?X -> JNPQJZFQLN, ?Y -> 2057
?X -> PMHGWLMAMQ, ?Y -> 2282
?X -> RDTQDPUADK, ?Y -> 2470
?X -> QEGYFEQDFJ, ?Y -> 2043
?X -> DSEAMKUVRN, ?Y -> 2037
?X -> UAIEJOJNDW, ?Y -> 2240
?X -> WQBSRFUNGY, ?Y -> 2466
?X -> MWBSDOMQPH, ?Y -> 2244
?X -> NCFEIGYHQF, ?Y -> 2381
?X -> DWVGPHIGHJ, ?Y -> 2143
?X -> FHLKAGNFSN, ?Y -> 2116
?X -> OMSTRXKMQZ, ?Y -> 2174
?X -> ISOOVHGOTB, ?Y -> 2480
?X -> UAQZXSRLHY, ?Y -> 2439
?X -> FLGUQXFVMO, ?Y -> 2095
?X -> YCOJDLEOZA, ?Y -> 2350
?X -> SXWTRBOVPN, ?Y -> 2497
?X -> RWOBHLPWAG, ?Y -> 2326
?X -> WUSDXOKCYD, ?Y -> 2386
?X -> VWGVCFSXDR, ?Y -> 2068
?X -> XGUKYHQDRK, ?Y -> 2375
?X -> YMSZWXOBUO, ?Y -> 2063
?X -> UBLADRIIXR, ?Y -> 2186
?X -> OUCOPGVAHP, ?Y -> 2149
?X -> ZRRXJSYAIB, ?Y -> 2281
?X -> HMGBJYAGOD, ?Y -> 2404
?X -> AFFPLKQHAR, ?Y -> 2056
?X -> IMLISNUDHJ, ?Y -> 2136
?X -> TQJFNPCCEE, ?Y -> 2029
?X -> PJEMITTJLP, ?Y -> 2233
?X -> XZPRJAQUIT, ?Y -> 2479
?X -> JYYNDMQNBD, ?Y -> 2373
?X -> RBWVHDPJYK, ?Y -> 2130
?X -> UHNCRDMCDM, ?Y -> 2496
?X -> WTWZFTKTJR, ?Y -> 2451
?X -> PJXCKSHEPV, ?Y -> 2101
?X -> CKOQJEQGRX, ?Y -> 2434
?X -> JERSXCTXTH, ?Y -> 2066
?X -> WTOCNAQSNC, ?Y -> 2241
?X -> PBSOAVGBWB, ?Y -> 2209
?X -> QAGAPLMFZS, ?Y -> 2013
?X -> KXRVERIGUS, ?Y -> 2016
?X -> IZMIRIFXQT, ?Y -> 2266
?X -> YBXFHCOWFB, ?Y -> 2374
?X -> FJMNJFXSKF, ?Y -> 2079
?X -> TDDJQHREII, ?Y -> 2364
?X -> EYTKSNWYQW, ?Y -> 2010
?X -> OITEFPUXGF, ?Y -> 2481
?X -> ZCRMWHKMDR, ?Y -> 2298
?X -> XIOAWIKBWS, ?Y -> 2215
?X -> WEHFIQCYWO, ?Y -> 2396
?X -> OWRXALXKIP, ?Y -> 2189
?X -> XPAFVDUGNP, ?Y -> 2277
?X -> GWGDFAXQNI, ?Y -> 2295
?X -> VQAWMTXIEW, ?Y -> 2108
?X -> ABYVBZPVYN, ?Y -> 2033
?X -> XNHBRPDMGV, ?Y -> 2097
?X -> WVUUCQYKFF, ?Y -> 2490
?X -> CXRGWIJIGX, ?Y -> 2300
?X -> XHWBWOJAVG, ?Y -> 2487
?X -> NSBWOUKKYZ, ?Y -> 2021
?X -> HJJLVGZBXD, ?Y -> 2014
?X -> OHVYDVSWWM, ?Y -> 2334
?X -> GKDTPVXUCM, ?Y -> 2464
?X -> QPRVUGYQIZ, ?Y -> 2092
?X -> CKVMSKMUWK, ?Y -> 2085
?X -> UFCOBQSNFZ, ?Y -> 2305
?X -> YVBARRPNXS, ?Y -> 2187
?X -> ZXSUSGQACI, ?Y -> 2395
?X -> NSITYDVNYM, ?Y -> 2052
?X -> UCOPUKLZHK, ?Y -> 2414
?X -> HZSYXQMHFF, ?Y -> 2469
?X -> YKNTWSAESF, ?Y -> 2137
?X -> DRXBZQBFBM, ?Y -> 2493
?X -> IIUXFNPETY, ?Y -> 2167
?X -> OAVQPVWYXC, ?Y -> 2173
?X -> YTXRSDETTB, ?Y -> 2039
?X -> AWWNGKRLEN, ?Y -> 2007
?X -> OXGNETAVSI, ?Y -> 2011
?X -> QFTOPKBBSX, ?Y -> 2346
?X -> OQNIBYIYRO, ?Y -> 2061
?X -> GZEOVYHODV, ?Y -> 2353
?X -> WZGVJGWNNP, ?Y -> 2422
?X -> MHXCMKBKYZ, ?Y -> 2288
?X -> UPMAXTZCHM, ?Y -> 2131
?X -> RSLKRBYQLQ, ?Y -> 2267
?X -> FPIPXWIGPH, ?Y -> 2229
?X -> QISDZEPKAD, ?Y -> 2376
?X -> BEKNMZCRJE, ?Y -> 2122
?X -> CPROQMKNDW, ?Y -> 2256
?X -> YPXPGOXQTK, ?Y -> 2202
?X -> ODNWWPHPYR, ?Y -> 2165
?X -> SIKEVJBGXV, ?Y -> 2412
?X -> NRUCGAJGNV, ?Y -> 2227
?X -> PIFRHLTAGB, ?Y -> 2193
?X -> MMEOAYSIRZ, ?Y -> 2054
?X -> DMZVJKXYON, ?Y -> 2394
?X -> YKIFMFFRRK, ?Y -> 2345
?X -> EODZXPYCXB, ?Y -> 2293
?X -> OCYAAJHYXZ, ?Y -> 2430
?X -> OUQXULTBZW, ?Y -> 2418
?X -> LJLNVYCSMJ, ?Y -> 2454
?X -> QRTIZWGQOK, ?Y -> 2224
?X -> TXYIHHXQXB, ?Y -> 2232
?X -> JVUXFKDEJQ, ?Y -> 2017
?X -> SFGHBLFKFT, ?Y -> 2383
?X -> HKUFLOFJXU, ?Y -> 2283
?X -> YFKZORHSFN, ?Y -> 2121
?X -> YQJYFETDBI, ?Y -> 2292
?X -> RVNMUWWUEB, ?Y -> 2064
?X -> YRWTLJRWBL, ?Y -> 2175
?X -> EIGCEOHQKK, ?Y -> 2400
?X -> PGVFBGJPWS, ?Y -> 2324
?X -> PXEZJAXTVY, ?Y -> 2474
?X -> MVCCHTEDYA, ?Y -> 2415
?X -> QESDSQHOYR, ?Y -> 2150
?X -> UIIWFHVCTD, ?Y -> 2238
?X -> VKADOLEJIR, ?Y -> 2158
?X -> RKEIGIBJBU, ?Y -> 2236
?X -> LUOOYLTXMT, ?Y -> 2304
?X -> PMTYGWPIJN, ?Y -> 2437
?X -> EOCVEUDXOT, ?Y -> 2102
?X -> MSPLCEBLJQ, ?Y -> 2488
?X -> IVJJVXFAAI, ?Y -> 2184
?X -> FZVKAZKSUT, ?Y -> 2055
?X -> XRKLOXANLZ, ?Y -> 2447
?X -> VFCQVSCYZV, ?Y -> 2289
?X -> QOQPMYASQP, ?Y -> 2362
?X -> HWEFXKYDCH, ?Y -> 2313
?X -> PCLEJYJIML, ?Y -> 2348
?X -> FITNQHICIE, ?Y -> 2181
?X -> PCLDQRYBRK, ?Y -> 2096
?X -> ACXVWKNKMU, ?Y -> 2023
?X -> INPJZRPMZF, ?Y -> 2472
?X -> KHTKLPSHXY, ?Y -> 2032
?X -> UQGNVBKSLO, ?Y -> 2316
?X -> DPSKBMWFTA, ?Y -> 2058
?X -> IPUQBRIALK, ?Y -> 2261
?X -> CKQCJOULXY, ?Y -> 2408
?X -> MRMOZCXJHU, ?Y -> 2473
?X -> BYMNMDPSQC, ?Y -> 2416
?X -> VOFKRJQNOY, ?Y -> 2276
?X -> XMCUNWMFYC, ?Y -> 2436
?X -> DDBBWLHFVL, ?Y -> 2065
?X -> AFOWZXPVPL, ?Y -> 2440
?X -> QNUAPPEXJN, ?Y -> 2157
?X -> ZZGXAXKUZW, ?Y -> 2307
?X -> QAOHXQBLDL, ?Y -> 2060
?X -> PTEBVDHIZQ, ?Y -> 2312
?X -> ALPAUSAFVX, ?Y -> 2336
?X -> AHEPIYZVOA, ?Y -> 2163
?X -> YXAIFIPGTZ, ?Y -> 2172
?X -> VFVDRSBDXY, ?Y -> 2138
?X -> FZRTEYOIHJ, ?Y -> 2294
?X -> NHHSDVKEJL, ?Y -> 2217
?X -> KDSMNNMGNL, ?Y -> 2073
?X -> IRAFXLFECX, ?Y -> 2128
?X -> DUQESIUEAB, ?Y -> 2500
?X -> ICEKNGHKXR, ?Y -> 2448
?X -> OTZPAGUCVR, ?Y -> 2219
?X -> QKJPWSQLGD, ?Y -> 2340
?X -> CQRXDANUSG, ?Y -> 2153
?X -> ENAVFSPOQP, ?Y -> 2337
?X -> VNSPDZINTD, ?Y -> 2407
?X -> PRKIDRGAGN, ?Y -> 2483
?X -> HARIUFBDNP, ?Y -> 2285
?X -> FUQQRVNSVH, ?Y -> 2059
?X -> SZXLOROMRE, ?Y -> 2213
?X -> JAAKTRGAHB, ?Y -> 2251
?X -> IZHSVUJRDO, ?Y -> 2214
?X -> LJHXCMCSVN, ?Y -> 2357
?X -> OSRJGKJMSM, ?Y -> 2132
?X -> NMBZESWGQQ, ?Y -> 2112
?X -> WHVSTGFXTX, ?Y -> 2027
?X -> RBEWMUMEIW, ?Y -> 2020
?X -> TNCZZCPUPE, ?Y -> 2309
?X -> XBWKWOTDCL, ?Y -> 2399
?X -> JHPLNMVJCI, ?Y -> 2223
?X -> KTUUITMEYW, ?Y -> 2198
?X -> PKZOSENJZD, ?Y -> 2401
?X -> QKQYOTHYOT, ?Y -> 2318
?X -> AHVVQBXIDC, ?Y -> 2144
?X -> FJYUEXOMLS, ?Y -> 2110
?X -> HSSUAEFHJS, ?Y -> 2009
?X -> XXYRQQUZSW, ?Y -> 2087
?X -> BWRHMHTQFI, ?Y -> 2286
?X -> RNSVEIOPNH, ?Y -> 2260
?X -> AGZXZBFKMB, ?Y -> 2264
?X -> GSQEHSBEYZ, ?Y -> 2250
?X -> PWAHYJIUDT, ?Y -> 2343
?X -> EPHSMSFMVG, ?Y -> 2492
?X -> NSCTOOOOLB, ?Y -> 2489
?X -> KYENPMKBIN, ?Y -> 2115
?X -> AUFZXPFRDQ, ?Y -> 2188
?X -> IEDGQCKHRI, ?Y -> 2498
?X -> FLPLKQRKBS, ?Y -> 2075
?X -> EHCZFQPAZF, ?Y -> 2262
?X -> DERCKHLNEH, ?Y -> 2247
?X -> XILGHJIRDK, ?Y -> 2460
?X -> VMTCNITNEJ, ?Y -> 2088
?X -> HXUUCZAAZH, ?Y -> 2431
?X -> EAFETOQCLR, ?Y -> 2099
?X -> CTCFISNSDW, ?Y -> 2019
?X -> OENQNQBFEM, ?Y -> 2432
?X -> HMAVGXCSSN, ?Y -> 2423
?X -> MFJWGRAQCH, ?Y -> 2252
?X -> ZHSUFALJYE, ?Y -> 2235
?X -> IDPPPAKNIG, ?Y -> 2001
?X -> WILIOZIUKJ, ?Y -> 2221
?X -> OUQLZIDYJD, ?Y -> 2328
