9_1_0,23_1_0,23_1_1
9_1_718,23_1_1492,23_1_3592
9_1_719,23_1_3592,23_1_7435
9_1_720,23_1_3592,23_1_8936
9_1_721,23_1_3592,23_1_9230
9_1_722,23_1_32,23_1_931
9_1_723,23_1_931,23_1_820
9_1_724,23_1_931,23_1_772
9_1_725,23_1_931,23_1_1201
9_1_726,23_1_931,23_1_6700
9_1_727,23_1_931,23_1_1200
9_1_728,23_1_6708,23_1_931
9_1_729,23_1_741,23_1_931
9_1_730,23_1_931,23_1_1425
9_1_731,23_1_9317,23_1_9318
9_1_732,23_1_547,23_1_5397
9_1_733,23_1_8940,23_1_9348
9_1_734,23_1_8940,23_1_9349
9_1_735,23_1_8940,23_1_7907
9_1_736,23_1_9375,23_1_9376
9_1_737,23_1_9379,23_1_9380
9_1_738,23_1_9436,23_1_9437
9_1_739,23_1_9450,23_1_9451
9_1_740,23_1_534,23_1_688
9_1_741,23_1_2535,23_1_9526
9_1_742,23_1_884,23_1_1116
9_1_743,23_1_668,23_1_9535
9_1_744,23_1_9541,23_1_9542
9_1_745,23_1_9543,23_1_9544
9_1_746,23_1_9563,23_1_9564
9_1_747,23_1_3323,23_1_9575
9_1_748,23_1_9603,23_1_9604
9_1_749,23_1_9619,23_1_223
9_1_750,23_1_1261,23_1_448
9_1_751,23_1_206,23_1_235
9_1_752,23_1_4637,23_1_5092
9_1_753,23_1_9639,23_1_9640
9_1_754,23_1_9665,23_1_129
9_1_755,23_1_227,23_1_5848
9_1_756,23_1_4228,23_1_9686
9_1_757,23_1_644,23_1_9689
9_1_758,23_1_7472,23_1_9686
9_1_759,23_1_644,23_1_9716
9_1_760,23_1_9801,23_1_4224
9_1_761,23_1_2568,23_1_9803
9_1_762,23_1_810,23_1_448
9_1_763,23_1_9811,23_1_2588
9_1_764,23_1_2526,23_1_2527
9_1_765,23_1_9937,23_1_9938
9_1_766,23_1_9974,23_1_129
9_1_767,23_1_10013,23_1_3671
9_1_768,23_1_257,23_1_9403
9_1_769,23_1_1630,23_1_257
9_1_770,23_1_1622,23_1_257
9_1_771,23_1_1627,23_1_257
9_1_772,23_1_1425,23_1_1541
9_1_773,23_1_1425,23_1_6021
9_1_774,23_1_1425,23_1_1642
9_1_775,23_1_1425,23_1_2550
9_1_776,23_1_1488,23_1_10115
9_1_777,23_1_1425,23_1_6046
9_1_778,23_1_1425,23_1_6070
9_1_779,23_1_1425,23_1_8578
9_1_780,23_1_10139,23_1_827
9_1_781,23_1_10143,23_1_4962
9_1_782,23_1_10144,23_1_5818
9_1_783,23_1_10145,23_1_6087
9_1_784,23_1_10146,23_1_10147
9_1_785,23_1_10152,23_1_6105
9_1_786,23_1_10164,23_1_4998
9_1_787,23_1_10165,23_1_722
9_1_788,23_1_10166,23_1_6105
9_1_789,23_1_2463,23_1_8596
9_1_790,23_1_10200,23_1_8596
9_1_791,23_1_5093,23_1_1504
9_1_792,23_1_10202,23_1_8596
9_1_793,23_1_10203,23_1_8596
9_1_794,23_1_10208,23_1_8596
9_1_795,23_1_10204,23_1_10209
9_1_796,23_1_3818,23_1_2756
9_1_797,23_1_7660,23_1_10251
9_1_798,23_1_10256,23_1_1584
9_1_799,23_1_1703,23_1_10262
9_1_800,23_1_4509,23_1_10276
9_1_801,23_1_10280,23_1_10281
9_1_802,23_1_10298,23_1_3054
9_1_803,23_1_10326,23_1_10327
9_1_804,23_1_10329,23_1_10330
9_1_805,23_1_3345,23_1_10342
9_1_806,23_1_10368,23_1_2588
9_1_807,23_1_10378,23_1_10379
9_1_808,23_1_3677,23_1_6918
9_1_809,23_1_10451,23_1_10452
9_1_810,23_1_2648,23_1_10498
9_1_811,23_1_10502,23_1_7245
9_1_812,23_1_10503,23_1_2756
9_1_813,23_1_4635,23_1_5092
9_1_814,23_1_10516,23_1_10517
9_1_815,23_1_10574,23_1_1599
9_1_816,23_1_3774,23_1_2731
9_1_817,23_1_10647,23_1_5345
9_1_818,23_1_10648,23_1_2756
9_1_819,23_1_8751,23_1_10650
9_1_820,23_1_1460,23_1_10688
9_1_821,23_1_10700,23_1_10701
9_1_822,23_1_9163,23_1_553
9_1_823,23_1_10750,23_1_129
9_1_824,23_1_10758,23_1_10759
9_1_825,23_1_4634,23_1_5092
9_1_826,23_1_10790,23_1_10791
9_1_827,23_1_4368,23_1_2846
9_1_828,23_1_9091,23_1_10802
9_1_829,23_1_337,23_1_1516
9_1_830,23_1_337,23_1_1521
9_1_831,23_1_1074,23_1_337
9_1_832,23_1_337,23_1_6941
9_1_833,23_1_843,23_1_10911
9_1_834,23_1_10976,23_1_2944
9_1_835,23_1_10990,23_1_7538
9_1_836,23_1_3586,23_1_143
9_1_837,23_1_11015,23_1_1591
9_1_838,23_1_5801,23_1_1584
9_1_839,23_1_11020,23_1_11021
9_1_840,23_1_7472,23_1_4251
9_1_841,23_1_143,23_1_11027
9_1_842,23_1_2535,23_1_11092
9_1_843,23_1_668,23_1_11096
9_1_844,23_1_4512,23_1_8121
9_1_845,23_1_11103,23_1_8116
9_1_846,23_1_11103,23_1_8117
9_1_847,23_1_5744,23_1_8119
9_1_848,23_1_11113,23_1_11114
9_1_849,23_1_3039,23_1_2581
9_1_850,23_1_11229,23_1_4636
9_1_851,BloodGroupAAntigenOrBloodGroupBAntigen,23_1_2
9_1_852,BloodGroupAAntigen,23_1_2
9_1_853,AnatomicalSurfaceQuadrant,23_1_14
9_1_854,Topology,23_1_15
9_1_855,VascularDilatationLesion,23_1_30
9_1_856,Route,23_1_31
9_1_857,PainSymptomCharacter,23_1_33
9_1_858,AbstractCavity,23_1_34
9_1_859,AbdominalPain,23_1_128
9_1_860,AbdominalColic,23_1_129
9_1_861,SolidStructure,23_1_130
9_1_862,IntestinalMuscleSpasm,23_1_131
9_1_863,AbdominalCramp,23_1_129
9_1_864,Dermatome,23_1_132
9_1_865,PathologicalPhenomenon,23_1_133
9_1_866,ExaminingProcess,23_1_134
9_1_867,Fistula,23_1_135
9_1_868,HerniaLesion,23_1_136
9_1_869,Lymphnode,23_1_130
9_1_870,Muscle,23_1_139
9_1_871,Displacement,23_1_140
9_1_872,AbdominalPain,23_1_129
9_1_873,PartOfPeritoneum,23_1_130
9_1_874,Conceptus,23_1_142
9_1_875,ReflexMuscleContractionProcess,23_1_144
9_1_876,Sign,23_1_134
9_1_877,SkinCovering,23_1_145
9_1_878,BodyStructure,23_1_14
9_1_879,SwellingSymptom,23_1_153
9_1_880,Symptom,23_1_134
9_1_881,BodyWall,23_1_154
9_1_882,PosteriorIntercostalArtery,23_1_168
9_1_883,PosteriorIntercostalArtery,23_1_169
9_1_884,PosteriorIntercostalVein,23_1_168
9_1_885,PosteriorIntercostalVein,23_1_169
9_1_886,MovingRotating,23_1_170
9_1_887,ExaminingProcess,23_1_171
9_1_888,Abduction,23_1_172
9_1_889,Abduction,23_1_173
9_1_890,Abduction,23_1_174
9_1_891,Abduction,23_1_175
9_1_892,Abduction,23_1_176
9_1_893,Abduction,23_1_177
9_1_894,AnteriorFlexion,23_1_178
9_1_895,Abduction,23_1_184
9_1_896,Abduction,23_1_189
9_1_897,AnteriorFlexion,23_1_190
9_1_898,Abduction,23_1_192
9_1_899,Abduction,23_1_193
9_1_900,Extension,23_1_192
9_1_901,GeneralisedProcess,23_1_203
9_1_902,SubclavianArtery,23_1_204
9_1_903,Diameter,23_1_205
9_1_904,TemporalPattern,23_1_207
9_1_905,Affect,23_1_206
9_1_906,BodyStructure,23_1_213
9_1_907,PathologicalBodyStructure,23_1_214
9_1_908,Colour,23_1_206
9_1_909,Cyst,23_1_213
9_1_910,FecalFlow,23_1_206
9_1_911,AbnormalFecalFlow,23_1_223
9_1_912,AbnormalFecalFlow,23_1_129
9_1_913,PathologicalBodyStructure,23_1_224
9_1_914,Chronicity,23_1_225
9_1_915,Intentionality,23_1_226
9_1_916,MaleUrethralMeatus,23_1_213
9_1_917,Phenomenon,23_1_213
9_1_918,PulseRhythm,23_1_206
9_1_919,Speech,23_1_206
9_1_920,CellMorphology,23_1_206
9_1_921,VolumeIncreasing,23_1_206
9_1_922,AbnormalUrineColour,23_1_129
9_1_923,NAMEDVascularPlexus,23_1_206
9_1_924,AcquisitionMode,23_1_231
9_1_925,Level,23_1_232
9_1_926,DryHair,23_1_206
9_1_927,DrySkin,23_1_206
9_1_928,Level,23_1_235
9_1_929,AbnormallyHighPitchSpeech,23_1_129
9_1_930,AbnormallyLowPitchSpeech,23_1_129
9_1_931,Shape,23_1_206
9_1_932,StartingProcess,23_1_237
9_1_933,StoppingProcess,23_1_238
9_1_934,Rubbing,23_1_243
9_1_935,Suddeness,23_1_244
9_1_936,Pus,23_1_245
9_1_937,Abscess,23_1_246
9_1_938,Level,23_1_247
9_1_939,Topology,23_1_248
9_1_940,Keratitis,23_1_252
9_1_941,ExaminingProcess,23_1_259
9_1_942,Topology,23_1_263
9_1_943,PathologicalPhenomenon,23_1_267
9_1_944,BodyStructure,23_1_268
9_1_945,Fracture,23_1_271
9_1_946,Acetone,23_1_273
9_1_947,CatabolicProcess,23_1_274
9_1_948,ProcessActivity,23_1_275
9_1_949,InvestigationAct,23_1_276
9_1_950,Acetylcholine,23_1_273
9_1_951,ProcessActivity,23_1_277
9_1_952,ControlOfFlow,23_1_278
9_1_953,ReflexMuscleContractionProcess,23_1_279
9_1_954,AcquisitionMode,23_1_280
9_1_955,Substance,23_1_281
9_1_956,Aspiration,23_1_282
9_1_957,Level,23_1_283
9_1_958,Level,23_1_284
9_1_959,InflammationLesion,23_1_288
9_1_960,AcquisitionMode,23_1_290
9_1_961,PathologicalBodyStructure,23_1_291
9_1_962,Hypersecretion,23_1_294
9_1_963,SynovialMembrane,23_1_299
9_1_964,BodyCavity,23_1_304
9_1_965,Intentionality,23_1_313
9_1_966,Shape,23_1_314
9_1_967,Effectiveness,23_1_315
9_1_968,StartingProcess,23_1_316
9_1_969,Displacement,23_1_317
9_1_970,ChemicalSubstance,23_1_273
9_1_971,Substance,23_1_273
9_1_972,UlceratingProcess,23_1_319
9_1_973,Implantability,23_1_321
9_1_974,PowerSource,23_1_322
9_1_975,ProcessActivity,23_1_323
9_1_976,Topology,23_1_324
9_1_977,ManufacturingProcess,23_1_325
9_1_978,Chronicity,23_1_326
9_1_979,Effectiveness,23_1_327
9_1_980,CardiacMuscle,23_1_329
9_1_981,CardiacMuscle,23_1_330
9_1_982,DentalCaries,23_1_331
9_1_983,DentinalCaries,23_1_331
9_1_984,AcuteAttack,23_1_335
9_1_985,EnamelCaries,23_1_331
9_1_986,Glaucoma,23_1_331
9_1_987,IneffectiveCardiacFunction,23_1_331
9_1_988,CardiacMuscle,23_1_338
9_1_989,CatabolicProcess,23_1_346
9_1_990,GeneTranscription,23_1_348
9_1_991,MalignantNeoplasticProcess,23_1_353
9_1_992,Duration,23_1_356
9_1_993,Osteomyelitis,23_1_331
9_1_994,PulpitisOfTooth,23_1_331
9_1_995,MucousMembrane,23_1_358
9_1_996,Device,23_1_360
9_1_997,NAMEDVolitionalAct,23_1_361
9_1_998,Substance,23_1_362
9_1_999,AdrenalHypofunction,23_1_369
9_1_1000,Adduction,23_1_370
9_1_1001,OutwardRotation,23_1_370
9_1_1002,AnteriorFlexion,23_1_189
9_1_1003,Extension,23_1_370
9_1_1004,Adduction,23_1_382
9_1_1005,Adduction,23_1_192
9_1_1006,Adduction,23_1_193
9_1_1007,ReflexMuscleContractionProcess,23_1_390
9_1_1008,InflammationLesion,23_1_392
9_1_1009,MalignantNeoplasticProcess,23_1_393
9_1_1010,Adenocyte,23_1_394
9_1_1011,Secretion,23_1_395
9_1_1012,BenignNeoplasticProcess,23_1_393
9_1_1013,DiseaseProcessExtent,23_1_396
9_1_1014,Level,23_1_398
9_1_1015,PathologicalBodyStructure,23_1_399
9_1_1016,AlveolarCollapse,23_1_400
9_1_1017,Material,23_1_401
9_1_1018,Pericarditis,23_1_402
9_1_1019,BodyRegion,23_1_403
9_1_1020,Adjustability,23_1_404
9_1_1021,Displacement,23_1_405
9_1_1022,Displacement,23_1_406
9_1_1023,BodyStructure,23_1_407
9_1_1024,BodyStructure,23_1_409
9_1_1025,BodyStructure,23_1_411
9_1_1026,BodyStructure,23_1_413
9_1_1027,SoftTissue,23_1_403
9_1_1028,SoftTissue,23_1_414
9_1_1029,AgeState,23_1_416
9_1_1030,NonNormalPhenomenon,23_1_417
9_1_1031,Adenocyte,23_1_418
9_1_1032,AtrophicLesion,23_1_421
9_1_1033,Cortex,23_1_422
9_1_1034,BodyProcess,23_1_429
9_1_1035,Secretion,23_1_429
9_1_1036,HyperplasticLesion,23_1_421
9_1_1037,Medulla,23_1_422
9_1_1038,Neurone,23_1_418
9_1_1039,PathologicalPhenomenon,23_1_417
9_1_1040,ChromaffinCell,23_1_444
9_1_1041,Inhibiting,23_1_445
9_1_1042,NeoplasticProcess,23_1_417
9_1_1043,Adrenaline,23_1_273
9_1_1044,Corticotrophin,23_1_273
9_1_1045,Adenocyte,23_1_447
9_1_1046,BodyProcess,23_1_448
9_1_1047,Secretion,23_1_448
9_1_1048,AgeState,23_1_450
9_1_1049,AcquisitionMode,23_1_451
9_1_1050,PathologicalPhenomenon,23_1_458
9_1_1051,AgeState,23_1_460
9_1_1052,AgeState,23_1_461
9_1_1053,Nodularity,23_1_463
9_1_1054,MalignantLymphoidCellNeoplasticProcess,23_1_449
9_1_1055,MalignantNeoplasticProcess,23_1_464
9_1_1056,InfectionLesion,23_1_465
9_1_1057,ChemicalPathway,23_1_467
9_1_1058,PhysicalPresentation,23_1_468
9_1_1059,PhysicalPresentation,23_1_469
9_1_1060,PathologicalPhenomenon,23_1_471
9_1_1061,Range,23_1_476
9_1_1062,PathologicalBodyStructure,23_1_477
9_1_1063,Vagina,23_1_478
9_1_1064,Aggrevating,23_1_479
9_1_1065,Aggression,23_1_129
9_1_1066,Age,23_1_481
9_1_1067,Air,23_1_485
9_1_1068,Space,23_1_486
9_1_1069,ObstructingLesion,23_1_487
9_1_1070,Akathisia,23_1_129
9_1_1071,Alanine,23_1_273
9_1_1072,AcquisitionMode,23_1_492
9_1_1073,Albumin,23_1_273
9_1_1074,ManufacturingProcess,23_1_493
9_1_1075,Albumin,23_1_494
9_1_1076,Alcohol,23_1_273
9_1_1077,PoisoningProcess,23_1_499
9_1_1078,WithdrawalSyndrome,23_1_496
9_1_1079,Cardiomyopathy,23_1_500
9_1_1080,Alcohol,23_1_498
9_1_1081,PhysicalPresentation,23_1_501
9_1_1082,Addiction,23_1_502
9_1_1083,Aldesleukin,23_1_273
9_1_1084,Aldosterone,23_1_506
9_1_1085,Aldosterone,23_1_507
9_1_1086,Substance,23_1_515
9_1_1087,Substance,23_1_517
9_1_1088,Alveolitis,23_1_518
9_1_1089,ConjunctivalInflammation,23_1_521
9_1_1090,Dermatitis,23_1_521
9_1_1091,PathologicalPhenomenon,23_1_522
9_1_1092,InflammationLesion,23_1_523
9_1_1093,Rhinitis,23_1_518
9_1_1094,SkinPathology,23_1_523
9_1_1095,Urticaria,23_1_524
9_1_1096,Vasculitis,23_1_523
9_1_1097,HypersensitivityProcess,23_1_449
9_1_1098,Graft,23_1_525
9_1_1099,ChemicalSubstance,23_1_526
9_1_1100,AllylamineChemical,23_1_273
9_1_1101,Completeness,23_1_527
9_1_1102,Inhibiting,23_1_528
9_1_1103,CatabolicProcess,23_1_529
9_1_1104,Secretion,23_1_530
9_1_1105,ProstaglandinE1,23_1_273
9_1_1106,Constructing,23_1_535
9_1_1107,AluminiumChloride,23_1_273
9_1_1108,ChemicalSubstance,23_1_536
9_1_1109,AdhesionLesion,23_1_539
9_1_1110,ChemicalResorption,23_1_540
9_1_1111,Deflating,23_1_541
9_1_1112,PathologicalCyst,23_1_542
9_1_1113,Exudate,23_1_543
9_1_1114,FibrosisLesion,23_1_539
9_1_1115,Extracting,23_1_546
9_1_1116,PathologicalPhenomenon,23_1_551
9_1_1117,InflammationLesion,23_1_539
9_1_1118,Gas,23_1_506
9_1_1119,Gas,23_1_552
9_1_1120,Duration,23_1_559
9_1_1121,Temperature,23_1_560
9_1_1122,PhenotypicalSex,23_1_561
9_1_1123,AminoAcid,23_1_494
9_1_1124,ChemicalSubstance,23_1_562
9_1_1125,AminoglycosideChemical,23_1_273
9_1_1126,AnabolicProcess,23_1_564
9_1_1127,GeneTranscription,23_1_566
9_1_1128,Ammonia,23_1_273
9_1_1129,ChemicalSubstance,23_1_537
9_1_1130,Amnesia,23_1_129
9_1_1131,Route,23_1_573
9_1_1132,AmnioticFluid,23_1_485
9_1_1133,Ampulla,23_1_582
9_1_1134,ChemicalDeposition,23_1_588
9_1_1135,AmyloidDeposition,23_1_143
9_1_1136,ChemicalPathway,23_1_589
9_1_1137,ClinicalSpeciality,23_1_590
9_1_1138,GeneralisedProcess,23_1_591
9_1_1139,PhysicalState,23_1_592
9_1_1140,AgenesisLesion,23_1_593
9_1_1141,Displacement,23_1_596
9_1_1142,ExaminingProcess,23_1_597
9_1_1143,Fibroblast,23_1_595
9_1_1144,BleedingSymptom,23_1_593
9_1_1145,Edge,23_1_598
9_1_1146,PathologicalPhenomenon,23_1_597
9_1_1147,BodyWall,23_1_601
9_1_1148,MucousMembrane,23_1_604
9_1_1149,Inhibiting,23_1_605
9_1_1150,Immediacy,23_1_606
9_1_1151,NeoplasticLesion,23_1_610
9_1_1152,Constructing,23_1_611
9_1_1153,Artery,23_1_614
9_1_1154,BodyStructure,23_1_615
9_1_1155,AnatomicalShape,23_1_616
9_1_1156,AnatomicalShape,23_1_617
9_1_1157,Sign,23_1_618
9_1_1158,BodyStructure,23_1_619
9_1_1159,BodyStructure,23_1_620
9_1_1160,BodyStructure,23_1_130
9_1_1161,BodyStructure,23_1_621
9_1_1162,BodyStructure,23_1_622
9_1_1163,BodyStructure,23_1_623
9_1_1164,BodyStructure,23_1_624
9_1_1165,Extension,23_1_625
9_1_1166,LysosomalAccumulation,23_1_627
9_1_1167,GeneTranscription,23_1_628
9_1_1168,ChemicalSubstance,23_1_629
9_1_1169,Hyposecretion,23_1_630
9_1_1170,Hormone,23_1_629
9_1_1171,AgenesisLesion,23_1_631
9_1_1172,AgenesisLesion,23_1_632
9_1_1173,PlanarDefect,23_1_633
9_1_1174,VascularDilatationLesion,23_1_634
9_1_1175,VascularDilatationLesion,23_1_635
9_1_1176,VascularDilatationLesion,23_1_636
9_1_1177,VascularDilatationLesion,23_1_637
9_1_1178,Anger,23_1_129
9_1_1179,ChestPain,23_1_638
9_1_1180,Chronicity,23_1_639
9_1_1181,NonDirectInspecting,23_1_640
9_1_1182,Secretion,23_1_642
9_1_1183,Commissure,23_1_643
9_1_1184,Angle,23_1_645
9_1_1185,Angle,23_1_646
9_1_1186,Angle,23_1_647
9_1_1187,Angle,23_1_312
9_1_1188,Level,23_1_648
9_1_1189,Anhidrosis,23_1_649
9_1_1190,ExaminingProcess,23_1_662
9_1_1191,ExaminingProcess,23_1_663
9_1_1192,OedemaSymptom,23_1_664
9_1_1193,Displacement,23_1_666
9_1_1194,Sign,23_1_662
9_1_1195,SwellingSymptom,23_1_664
9_1_1196,Symptom,23_1_662
9_1_1197,Ankylosis,23_1_667
9_1_1198,InflammationLesion,23_1_667
9_1_1199,FusionLesion,23_1_668
9_1_1200,AnteriorFlexion,23_1_670
9_1_1201,Extension,23_1_675
9_1_1202,Secretion,23_1_678
9_1_1203,Behaviour,23_1_680
9_1_1204,Extension,23_1_681
9_1_1205,AnteriorFlexion,23_1_683
9_1_1206,Adduction,23_1_173
9_1_1207,NonDirectInspecting,23_1_685
9_1_1208,AnteriorFlexion,23_1_370
9_1_1209,Extension,23_1_173
9_1_1210,Substance,23_1_689
9_1_1211,AnteriorFlexion,23_1_690
9_1_1212,GeneralisedProcess,23_1_688
9_1_1213,Dermatome,23_1_691
9_1_1214,GeneTranscription,23_1_692
9_1_1215,AnteriorFlexion,23_1_694
9_1_1216,BodyProcess,23_1_689
9_1_1217,TissueCell,23_1_696
9_1_1218,Substance,23_1_673
9_1_1219,GeneTranscription,23_1_701
9_1_1220,BodyStructure,23_1_687
9_1_1221,Extension,23_1_703
9_1_1222,Colour,23_1_706
9_1_1223,ManufacturingProcess,23_1_708
9_1_1224,InternalRegion,23_1_710
9_1_1225,AnabolicProcess,23_1_711
9_1_1226,Extension,23_1_713
9_1_1227,AllergyProcess,23_1_716
9_1_1228,Secretion,23_1_718
9_1_1229,Shaft,23_1_722
9_1_1230,NAMEDNonBodySubstance,23_1_725
9_1_1231,AnteriorFlexion,23_1_727
9_1_1232,ChronicLymphocyticLeukaemia,23_1_728
9_1_1233,GeneTranscription,23_1_729
9_1_1234,PhysicallySupporting,23_1_731
9_1_1235,Collection,23_1_673
9_1_1236,Extension,23_1_733
9_1_1237,Abduction,23_1_370
9_1_1238,BodyStructure,23_1_143
9_1_1239,PathologicalProcess,23_1_737
9_1_1240,PartOfBack,23_1_738
9_1_1241,AnteriorFlexion,23_1_193
9_1_1242,SkinOfLeg,23_1_741
9_1_1243,Dermatome,23_1_743
9_1_1244,Behaviour,23_1_143
9_1_1245,SurfaceOfCrownOfTooth,23_1_746
9_1_1246,AnteriorFlexion,23_1_192
9_1_1247,SurfaceRegion,23_1_749
9_1_1248,GeneralisedProcess,23_1_751
9_1_1249,Collection,23_1_206
9_1_1250,Dermatome,23_1_753
9_1_1251,InwardVersion,23_1_755
9_1_1252,Stabilizing,23_1_756
9_1_1253,BodyWall,23_1_758
9_1_1254,PartOfSkinOfBack,23_1_760
9_1_1255,Extension,23_1_761
9_1_1256,Secretion,23_1_762
9_1_1257,Extension,23_1_764
9_1_1258,InwardRotation,23_1_173
9_1_1259,AnteriorFlexion,23_1_766
9_1_1260,BodyProcess,23_1_687
9_1_1261,GeneralisedStructure,23_1_688
9_1_1262,MovingSideways,23_1_768
9_1_1263,BodyRegion,23_1_769
9_1_1264,AbstractCavity,23_1_770
9_1_1265,BodyProcess,23_1_143
9_1_1266,Behaviour,23_1_673
9_1_1267,Recess,23_1_771
9_1_1268,AnteriorFlexion,23_1_703
9_1_1269,AnteriorFlexion,23_1_173
9_1_1270,Eminence,23_1_779
9_1_1271,Adduction,23_1_766
9_1_1272,BodyStructure,23_1_781
9_1_1273,InwardRotation,23_1_370
9_1_1274,Dermatome,23_1_783
9_1_1275,PosteriorIntercostalArtery,23_1_784
9_1_1276,Extension,23_1_786
9_1_1277,PosteriorIntercostalArtery,23_1_787
9_1_1278,CardiacMuscle,23_1_788
9_1_1279,BodyStructure,23_1_791
9_1_1280,BodyProcess,23_1_673
9_1_1281,PosteriorIntercostalArtery,23_1_792
9_1_1282,Meatus,23_1_793
9_1_1283,ExternalStimulusSensation,23_1_206
9_1_1284,GeneralisedStructure,23_1_795
9_1_1285,AnteriorFlexion,23_1_797
9_1_1286,PhysicallySupporting,23_1_801
9_1_1287,PosteriorIntercostalArtery,23_1_802
9_1_1288,AnteriorFlexion,23_1_803
9_1_1289,PhysicallySupporting,23_1_804
9_1_1290,Adduction,23_1_764
9_1_1291,SolidRegion,23_1_806
9_1_1292,Secretion,23_1_807
9_1_1293,Dermatome,23_1_809
9_1_1294,AnabolicProcess,23_1_810
9_1_1295,Meniscus,23_1_811
9_1_1296,InternalRegion,23_1_813
9_1_1297,Topology,23_1_814
9_1_1298,GeneTranscription,23_1_816
9_1_1299,AnteriorFlexion,23_1_681
9_1_1300,SkinOfThigh,23_1_820
9_1_1301,Dermatome,23_1_824
9_1_1302,OutwardRotation,23_1_681
9_1_1303,AnteriorFlexion,23_1_177
9_1_1304,OutwardRotation,23_1_173
9_1_1305,AnteriorFlexion,23_1_826
9_1_1306,InternalRegion,23_1_827
9_1_1307,Impetigo,23_1_828
9_1_1308,GeneTranscription,23_1_829
9_1_1309,Epicondyle,23_1_811
9_1_1310,MeasuringProcess,23_1_831
9_1_1311,GeneTranscription,23_1_835
9_1_1312,Dorsiflexion,23_1_694
9_1_1313,MalignantNeoplasticProcess,23_1_838
9_1_1314,Extension,23_1_670
9_1_1315,Adduction,23_1_786
9_1_1316,GenericBodyStructure,23_1_612
9_1_1317,Dermatome,23_1_840
9_1_1318,GeneTranscription,23_1_841
9_1_1319,Storing,23_1_843
9_1_1320,Extension,23_1_797
9_1_1321,BodyWall,23_1_846
9_1_1322,Extension,23_1_178
9_1_1323,AnabolicProcess,23_1_849
9_1_1324,Dermatome,23_1_851
9_1_1325,Secretion,23_1_853
9_1_1326,Dermatome,23_1_855
9_1_1327,Dermatome,23_1_856
9_1_1328,BodyProcess,23_1_206
9_1_1329,GeneTranscription,23_1_857
9_1_1330,BodyProcess,23_1_680
9_1_1331,SkinOfThigh,23_1_741
9_1_1332,PowerSource,23_1_860
9_1_1333,Moving,23_1_731
9_1_1334,BodyPart,23_1_612
9_1_1335,Abduction,23_1_764
9_1_1336,Dermatome,23_1_864
9_1_1337,Behaviour,23_1_687
9_1_1338,AnteriorFlexion,23_1_866
9_1_1339,GeneTranscription,23_1_868
9_1_1340,BodyWall,23_1_870
9_1_1341,Substance,23_1_687
9_1_1342,Adduction,23_1_797
9_1_1343,Calcium,23_1_506
9_1_1344,IonisationFeature,23_1_874
9_1_1345,PartOfSkinOfBack,23_1_875
9_1_1346,Blood,23_1_877
9_1_1347,Dermatome,23_1_878
9_1_1348,StructuralFeature,23_1_879
9_1_1349,Secretion,23_1_881
9_1_1350,Substance,23_1_494
9_1_1351,CerebralHemisphere,23_1_884
9_1_1352,Behaviour,23_1_206
9_1_1353,Dermatome,23_1_886
9_1_1354,Supination,23_1_888
9_1_1355,InternalLinearSegment,23_1_889
9_1_1356,Dermatome,23_1_890
9_1_1357,AnteriorIntercostalArtery,23_1_792
9_1_1358,AnteriorIntercostalArtery,23_1_802
9_1_1359,Abduction,23_1_866
9_1_1360,Extension,23_1_898
9_1_1361,TemporalPattern,23_1_900
9_1_1362,GeneralisedSubstance,23_1_795
9_1_1363,BodyStructure,23_1_206
9_1_1364,PhenotypicalSex,23_1_904
9_1_1365,GeneTranscription,23_1_906
9_1_1366,Dermatome,23_1_908
9_1_1367,PathologicalProcess,23_1_911
9_1_1368,GeneTranscription,23_1_912
9_1_1369,AnabolicProcess,23_1_914
9_1_1370,Elevating,23_1_768
9_1_1371,AnteriorFlexion,23_1_625
9_1_1372,InterphalangealJoint,23_1_918
9_1_1373,PathologicalProcess,23_1_920
9_1_1374,Edge,23_1_921
9_1_1375,Dermatome,23_1_922
9_1_1376,AnabolicProcess,23_1_925
9_1_1377,InternalRegion,23_1_926
9_1_1378,BenignNeoplasticProcess,23_1_927
9_1_1379,SkinOfFoot,23_1_820
9_1_1380,BodyStructure,23_1_689
9_1_1381,DegenerativeProcess,23_1_930
9_1_1382,CerebralHemisphere,23_1_931
9_1_1383,ProcessActivity,23_1_933
9_1_1384,BodyStructure,23_1_935
9_1_1385,BodyStructure,23_1_673
9_1_1386,PosteriorIntercostalArtery,23_1_936
9_1_1387,Dermatome,23_1_937
9_1_1388,GeneTranscription,23_1_938
9_1_1389,GeneTranscription,23_1_940
9_1_1390,Urine,23_1_942
9_1_1391,Secretion,23_1_943
9_1_1392,AnteriorFlexion,23_1_713
9_1_1393,GeneTranscription,23_1_946
9_1_1394,Substance,23_1_143
9_1_1395,InwardRotation,23_1_803
9_1_1396,PosteriorIntercostalArtery,23_1_952
9_1_1397,MovingForwards,23_1_768
9_1_1398,AnteriorFlexion,23_1_764
9_1_1399,Extension,23_1_956
9_1_1400,Multiple,23_1_962
9_1_1401,AnteriorFlexion,23_1_184
9_1_1402,PhysicalState,23_1_963
9_1_1403,PhysicalState,23_1_964
9_1_1404,Extension,23_1_965
9_1_1405,Proportion,23_1_967
9_1_1406,Magnesium,23_1_506
9_1_1407,Phenomenon,23_1_534
9_1_1408,PosteriorIntercostalArtery,23_1_973
